date,value,val2,val3
2009/10/29,4641.1,4641.1,4641.1
2009/10/30,4477.7,4477.7,4477.7
2009/10/31,4461.1,4461.1,4461.1
2009/11/1,4448,4448,4448
2009/11/2,4324.6,4324.6,4324.6
2009/11/3,4322.2,4322.2,4322.2
2009/11/4,4314.9,4314.9,4314.9
2009/11/5,4327.7,4327.7,4327.7
2009/11/6,4391.1,4391.1,4391.1
2009/11/7,4434.1,4434.1,4434.1
2009/11/8,4459.4,4459.4,4459.4
2009/11/9,4526.7,4526.7,4526.7
2009/11/10,4545.5,4545.5,4545.5
2009/11/11,4521.2,4521.2,4521.2
2009/11/12,4491,4491,4491
2009/11/13,4535,4535,4535
2009/11/14,4588.3,4588.3,4588.3
2009/11/15,4602.2,4602.2,4602.2
2009/11/16,4587.3,4587.3,4587.3
2009/11/17,4575.1,4575.1,4575.1
2009/11/18,4614.6,4614.6,4614.6
2009/11/19,4651.3,4651.3,4651.3
2009/11/20,4661,4661,4661
2009/11/21,4712,4712,4712
2009/11/22,4742,4742,4742
2009/11/23,4763.2,4763.2,4763.2
2009/11/24,4803.5,4803.5,4803.5
2009/11/25,4818.4,4818.4,4818.4
2009/11/26,4846.6,4846.6,4846.6
2009/11/27,4857.2,4857.2,4857.2
2009/11/28,4874.3,4874.3,4874.3
2009/11/29,4865.8,4865.8,4865.8
2009/11/30,4875.5,4875.5,4875.5
2009/12/1,4955.2,4955.2,4955.2
2009/12/2,4974.3,4974.3,4974.3
2009/12/3,5012.2,5012.2,5012.2
2009/12/4,5040.8,5040.8,5040.8
2009/12/5,5047.1,5047.1,5047.1
2009/12/6,5070,5070,5070
2009/12/7,5077.7,5077.7,5077.7
2009/12/8,5091.2,5091.2,5091.2
2009/12/9,5093,5093,5093
2009/12/10,5108.7,5108.7,5108.7
2009/12/11,5110.1,5110.1,5110.1
